Product Name,Star Rating,Customer Review,Sentiment Analysis Score,Sentiment Category
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",1.0 out of 5 stars,Dont buy.. after 10 to.15 mins gaming phone lagging too much : Dont buy.. after 10 to.15 mins gaming phone lagging too much,2,Negative
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",5.0 out of 5 stars,Overall a good phone 👌 : Good phoneDecent look and looks stylishCamera and battery quality are super goodGood phone in this range 👍But delivery service is not good,3,Neutral
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",2.0 out of 5 stars,Not good : Not good phone stopped working after some time so i didn't suggest you this...,3,Neutral
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",3.0 out of 5 stars,Just Read before buying. My opinion : Here my product review after usage of 2 week.Pros:Design and built quality - superb.Display - Smoothness and view is very impressiveFinger print sensor and face unlock working  perfect.Rear camera - Good as considering the price.Ram management and multitasking - Just ok. Without any new applications it's consuming 1.8 gb.Call quality very fineCons:Gaming - Mobile heating and lagging when you playing high graphics gameBattery - 5020mAh battery. Moderate performFor charging it's take 2.4 hrs per day from 0 to 100. I think MI mentioned just for advertisement.Macro camera - useless featureFront camera - AverageUi is fine but consuming more ramMany pre-installed application could not able to delete ( Mi app).FinalNormal user you can go (If you are ok to charge twice a day).If you are a game addict this product not at all suitable for you.Note: I am requesting replacement for my 1st mobile due to heating issue.Received 2nd one has battery draining issue. I am really disappointed to charge twice a day ( 5hrs per day). I suggest please buy some other brand don't waste your money like me.,3,Neutral
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",2.0 out of 5 stars,"Worst : Worst product, not as expected its not even a month and ut hangs so much! Its front camera is just worst, only it's first look is good nothing else. Don't go for it!! Redmi note 8 and even note 5 is much better than it!😤 Completely disappointed 😤😤😤",1,Very Negative
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",5.0 out of 5 stars,Loll !!  I am the first to review this 🤩👇 : Awesome product 💎Value for money 💵Best in segment📱For normal usage this one is the best 🙌Long battery life 🤳 when compared to other smartphones.Camera is ok for this price📸Charging is comparitively slow it takes 2 - 2 and half hrs or more to get full charged.🕕 Overall its best for the price  👍,5,Very Positive
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",3.0 out of 5 stars,"Not good like other phones of xiaomi. : My Mobile phone has some screen issue. On completely black wall paper or black background there's a permanent white dot (like screen is defective) on the screen but i requested for the replacement soon device will be replaced. Although device is preety average, ram management is not that good.go for the snapdragon rather than mediatek.Pubg lags sometimes on medium settings and there's a ton of preloaded apps from which some apps you cannot uninstall.there are several options in the market other than xiaomi. So,choose your device wisely.",3,Neutral
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",4.0 out of 5 stars,Everything nice but only body vibration problem due to plastic back : Very nice Phone.. smooth performance.. charge service decent.. screen quality superb.. sound ok.. but body vibration issue is here.. in speaker mode or at time of calling body vibration present.. no notification light.. overall decent performance at this price.. phone support only 18 watt fast charge. But charger support 22.5 watt..,2,Negative
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),1.0 out of 5 stars,"Keep away from Amazon when it's Apple. : May be my first negative review about the product & Amazon both. I was much elated to receive the iPhone 11 so fast, next day of dispatch i.e. 28/09/19, but the thing I got started heating up every now and then. Contacted Applecare, just to be consoled that it's quite normal. As it continued, tried to return the product by speaking to Amazon customer support but in vain. Some body called me back to convey that only Apple will decide which one to take back. Why is then Amazon took up the sacred duty of selling such an item which they can't exchange/ have no control ? The product developed new issues like proximity sensor malfunction and last but most importantly loosing mobile network every other minute(even had two software updates). It was handed over to the Apple ASP as the return window closed on 10/10/19 (what use it was for??) and diagnosed as having issues and has further been sent to Apple repair facility at Bengaluru. So I'm here w/out my first iPhone after using it(suffering for??) just a little over 2 weeks and the CREDIT GOES TO AMAZON !! Bravo, keep it up Amazon.",1,Very Negative
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",1.0 out of 5 stars,Pathetic service by Amazon and worst quality mobile : Worst mobile... Ordered mobile on August 03 and received on 22nd and looking at mobile display is good but it switched off itself and not working even though if I tried to charge it's not charging... It was completely dead no power in mobileI received a defect piece then I try to return the mobile nobody is coming for pickup from Amazon and no refund option.Buying mobile in Amazon is a worst decision.So again after multiple follow ups someone From Amazon picked up the phone to return but it's not updated yet in app Or no further communication has been updated from Amazon. I called Amazon customer service care for the the same... He was like just woke up from sleep(mooning) and asked me to wait for on hold and he never came back to talk to me. I felt strange and call was disconnected.It's a strange behavior from Amazon I have been regular nd authorized customer for Amazon since  over the years.,1,Very Negative
"Redmi Note 9 (Pebble Grey, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",5.0 out of 5 stars,Good phone.. : Totally impressed by the built and looks. For 13k I thought of getting realme 6i but the stocks barely last..!So I decided to get this phone. The phone is great and smooth. Gaming experience is also good but not as good as g90t.G85 is a decent processor with great daily life performance!If 12k is your budget go for it..Or 13k..realme 6i and 14k... Go for poco m2. Scarlet red looks stunning!!,3,Neutral
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",5.0 out of 5 stars,Superb ...😘 : Febulas performance Redmi Note 8 ...I love it ..😍first time I parchase online and Amazon give full satisfaction of product.Thanks for Amazon 😘,5,Very Positive
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),1.0 out of 5 stars,"Do not buy iphone or expensive product from Amazom : Please do not buy expensive product like iphone from Amazon, i had very bad exp, the charger cord was missing and had sound quality issues. Amazon initial told charger doesn't come in box and when i challenged it they asked reimburse the cord amount, but i requested a replacement, after some days they called me and informed that they dont take responsibility of missing items, and 10 day replacement policy they dont follow, you can read the email conversation attached  here where i mentioned every thing, i have the call recordings as well. At last they denied the phone replacement and even to provide the missing cord. For any damage or quality issues they said amazon is not responsible.",2,Negative
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),5.0 out of 5 stars,Solid premium phone from Apple : Awesome Phone. Nice upgrade from iPhone 6s to iPhone 11. Love this beautiful phone.,5,Very Positive
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),5.0 out of 5 stars,"First Time iPhone User Review :-) : The iPhone design is good and the camera quality is awesome. You can also take pictures in wide angles and the image quality is awesome.Phone got delivered at 9am on 28th September (I pre-order it on 27th September at 3am in the morning), I got my phone before the delivery date with nice and secured packaging.The overall look of the phone is premium and face unlocking is fast. I grabbed this phone with HDFC 6K Instant Discount Offer at Just 64K (128 GB Variant).Cons:1. The phone is great but if you use ""in the box"" accessories like ""EarPods with Lighting Connector"", then you might feel a little pain in your ears.2. The phone comes with 5W charger which charge your phone slowly. I recommend you to prefer using 18W charger.Well, I've never tried the iPhone before and I'm using this for the first time (Yes, I'm already using other apple products like MacBook Air & Pro).But the product is great and I'm just lovin it.",4,Positive
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",1.0 out of 5 stars,Scam : The sale is scam. Trying to get this phone for 3rd time in a row but everytime it shows error while adding to cart and when the screen loads it shows 100% claimed.,4,Positive
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",1.0 out of 5 stars,Disappointing : Phone hanged many times .I return it for replacement but not get back yet.Amazon shipping and replacement service is too bad. I uploaded a video....,2,Negative
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",5.0 out of 5 stars,"Worth the price....A must buy for everyone with budget of around 10k-13k : Loving the phone....Purchased with bank discount,6gb 128gb blue variant...i must say,it looks super awesome....having gorilla glass protection in front and back,it makes it even better....Camera is really cool,getting some decent clicks,just install google camera and the quality is much much betterBattery backup is quite good as well,just turn off dual 4g,dont use volte if not necessary,turn of auto start for apps which u feel are not required,keep miui battery saver turned on for better backup,keep gps off when not needed,just do small adjustments and battery will surely last longerPerformance is also great considering the chipset you are getting,infact u also get 4g+ which is not even there on redmi note 7 pro and would never come also....so internet speed,call quality,signal strength...everything is impressiveI must say,in this price range,this phone totally deserves praises from all....i hope i tried to cover all points and helped people to look for this phone as a good option for them...All the best...",2,Negative
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",5.0 out of 5 stars,moonlight is love : best mobile under 10000,5,Very Positive
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",5.0 out of 5 stars,"HONEST M31s. HONEST PERFORMANCE. HONEST PRICE. : Honest review for a Honest Samsung phone. I am writing this review after using M31s for more than half month. And my verdict based on truly improved Samsung M series with my experience & tested after usage only.BUILD QUALITY. Superior, as it matches any S series flagship premium in classy look, strong built for this budget amount. My hand is small but still I found 6.5 inches display is good to handle as it is well managed for one hand use also.DISPLAY & FINGERPRINT.With Samsung SuperAmoled display you can truly trust the amazing view angle. Now in M31s feature of Widevine L Certification you can enjoy all those global Dolby theatre experience. I found it reliable for my 1920p to 4k level of movie watching without any distraction due to Infinite O display which gives Full Screen Ratio. Fingerprint on side is much faster than I expected. It doesn't takes a second also to open. Even FaceUnlock is faster.BATTERY.Main benefit of this midrange M series is it's maasive 6000mAh battery which gave me enough juice for nearly 3 days continuously. Tested.CAMERA.This time M series did a honest job by giving us a INTELLI camera of 64 mwgapixel with Single Take feature. Samsung gives what it advertises. Which made me to stick to Samsung brand. My usage of Camera is high & I found no complaints at all in focusing a shoot. Good color saturated. Well bright night shots. Macro shots r OSM. The depth & clarity of 64 megapixel is more developed in this M31s model. So no complaints.PROCESSOR.After using for more than half month I must say, Exynos 9611 works wonderful liquid speed when it is combined with LPDDR4X RAM technology. I have not faced any lag in PUBG or ASPHALT-9 hight end games, in medium setting which is good for battery saving. So 2.3Ghz speed accomplished. No complaints for the budget spent.SOUND QUALITY.After using for hours I found the Speaker this time Samsung made is much improved with Bass Stereo which was missing earlier. The in-ear delivers your ear the pure Dolby Atmos with clear precision and crystal clear bass effect.Bang for the bucks go for it. Thanks Amazon for Safe delivery.",5,Very Positive
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),1.0 out of 5 stars,"Worst Experience Ever.! : My Phone is Producing Too Much Heat Even Didn’t Put Sim , Never used more than Half an hour And It’s producing too much heat.. Totally Disappointed With Amazon. Now they are saying To Go Icare services( After Calling to customer care several times) Amazon can’t do anything For this . Worst Experience with Amazon. No one would like to repair new phone 😢 Better Go for shop To buy apple products .",2,Negative
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),1.0 out of 5 stars,"Don’t buy it from this seller : Bought the mobile from appario retail ltd. Mobile is heating up within seconds and also camera modes aren’t working properly. Particularly in portrait mode, the stage light and mono options aren’t working properly.  i raised the same to apple customer care they confirmed that its not software issue. But the amazon customer care told me that they need a job card and report from apple service center. The nearest service center is located at 210km from my place, imagine the amount of strain and how much its going to cost. Before you buy anything from this seller just google it and u can find numerous complaints on this seller. What ever they sell u will find defective products only. There is a thread on this sellers dubious deals in quora. Please be safe and don’t regret after.",1,Very Negative
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",5.0 out of 5 stars,Oscem : Best mobile at this price range,5,Very Positive
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",4.0 out of 5 stars,"redmi 9 prime : good phone at this budget, but camera quality is not good.",2,Negative
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",5.0 out of 5 stars,Best in class @9999 : Best budget smartphone.,5,Very Positive
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",4.0 out of 5 stars,Good : Good but camera quality not good,4,Positive
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",4.0 out of 5 stars,"🤔prime.. prime🤭🤭🤭ᴄʰᵃⁿᵍᵉᵈ🙄🙄 : We haven't seen the ‘Prime' branding on a Redmi smartphone in a really long time, but now Xiaomi has brought it back with the Redmi 9 Prime. Xiaomi explains that this model has been launched because its Redmi Note 9 series has become more expensive due to the GST hike and Rupee-Dollar fluctuations. The Redmi 9 Prime is priced below the Redmi Note 9 series and starts just below the Rs. 10,000 price point. Has Xiaomi gone overboard with cost-cutting, or does the Redmi 9 Prime offer you good value for money? I review the new Redmi 9 Prime to find out.At the beginning of our Redmi 9 Prime review, we stated that the smartphone is a prime contender for the best smartphone under Rs 10,000 currently in India. Redmi 9 Prime is a budget all-rounder that ticks most boxes right with its value-for-money performance package.The camera unit may not be the best but it gets the job done. The lack of night mode is a bummer though. You can pick Xiaomi’s own Redmi Note 9 (review) that gets points for its big battery, decent display and an above-average performance unitI bought it for youtube review but it changed me",2,Negative
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",1.0 out of 5 stars,Dont buy.. after 10 to.15 mins gaming phone lagging too much : Dont buy.. after 10 to.15 mins gaming phone lagging too much,2,Negative
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 128GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI & INR 1000 Off on Exchange",1.0 out of 5 stars,"PLZZ read this before Wasting your money. : PLZZ read this complete information before buying from AmazonThey do not refund if your product got defected.Amazon is worst in providing services so if you have any option to buy from Flipkart then go there. Don't waste your time on AmazonRegarding mobileWorst mobile i have ever seenBattery charging time is more than expected.Battery drainaing problem is thereCamera will stuck when you click pictures.Poor camera quality they said 48 mp but it's like 12mp.  If you are game lover then PLZZ try another mobile. Performance is very low.I told Amazon customer care to take this product back but they are not helping me instead they want me to go service center in covid19 situation which is in red zone. They can't provide home visit because their technician life is more important than customer. If customer get infected it's ok for them.Thanks Amazon for this service now i hate Amazon more than tiktok.Unistalling the app right now. And also recommending my friend's and relatives to not buy anything from Amazon, they are worst.",1,Very Negative
"Redmi Note 8 (Neptune Blue, 4GB RAM, 64GB Storage)",5.0 out of 5 stars,Amazing phone : Pros- batteryCameraPriceLookCons- delicate. So has to be handled carefully.It took 10 days for the product to reach.,4,Positive
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",5.0 out of 5 stars,"Jack of all trades!! : Ordered on Prime day, 6th August 12 AM. Received the phone on 8th August.All aspects of the phone is on par or above the next segment.Display is gorgeous.Lookwise it doesn't feel like an M series phone.FP sensor works well although it can store only 3 fingerprints.Camera is overall good. Can't say it's a camera centric phone obviously. However it has some good outputs6000mah battery with 25W fast charging is awesome. (you get reverse charging as well).The only con i felt till now is the exclusion of a phone cover in the box. This might sound silly but I'm one of those guy's who use phone with a cover only to be on the safer side. Just because there is no cover I'm unable to use the phone as my daily driver right now.Come on Samsung. How much will a tpu cover cost for you?? 50Rs??M31s is actually A51 without on screen fp. It has better specs than A51 which retails around 8-9k than M31s which makes this phone one of a kind.The dimensions are also the same as A51. So you can use the same tempered glass but cant use A51 back cover for M31s since it should have the cutout for side mounted fp scanner.Overall a great phone. Value for money I should say. If you are not a heavy gamer this is the best choice around.Will update the review after using the phone for 2 weeks.Till then book your phone and wait for the delivery as it is back-ordered at this moment.",2,Negative
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"The phone got dead just after the initial setup : This is to share my horrible experience with Amazon and Samsung. The phone arrived dead and I have to make multiple calls, emails to team to get it replaced. After technician report confirming that phone is dead they now asking me to go for a refund as product is no longer in stock.",3,Neutral
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"Disappointed completely 😑 : Strongly recommend No..why samsung make lot advertise on m31s.really don't know wt makes new compared to other M series. 'Single take' shot option really useless.People who r looking for camera please don't buy m31s.All the modes camers pictures are 95%blur mode.perfomance of mobile is not up to expectations.When turns into selife mode really shocked IS IT HD photo or Asian paints colored WALL.REALLY SHOCKED.THIS TIME SAMSUNG DISAPPOINTED.Videos display is also not so effective. Starting of series most of them said not  a gaming mobile.really its not gaming mobile.No samsung pay Nfc,No backcase,l.Rather than spending 20k on m31s supposed to switch another model.Name it as blur mobile.THANKS",3,Neutral
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",4.0 out of 5 stars,Strictly Satisfactory.  Definitely not a flagship experience. : Initial impression after using for one day.1. The display is Gorgeous. Feels like a high end device2. Specs say 6000 MaH battery. Power management is not up to the mark. Without using any power intensive app battery drain is quite pronounced and noticeable.  Hopefully Samsung will release a patch to fix this3.Camera: Impressive.  Good lighting conditions result in beautiful and detailed shots. Struggles a bit during the low light conditions. Overall quite ok for the price.4. Processor: Not the fastest out there  but does the job. Nothing to complain about5. Fingerprint scanner is decent.6. No back case in the box. Will take time to get new case delivered.  Case is necessary as the back panel is quite slippery7. I believe the cost should have around 17K instead of 19.5k...! But if you want a non Chinese phone then this is a good option to consider,4,Positive
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"Screen blacked out in 2 days : purchased the phone on very first day, delivered by amazon on the next day - excellent serviceabout phoneused it for 2 days and then screen blacked out and phone not workingtried many things as suggested by amazon tech team but its still not workingreplacement order placed but it shows 20 days to deliver next onenever expected this quality from samsung",4,Positive
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",4.0 out of 5 stars,Best Buy with few compromise : I am using this for last 2-3 days now.This is my review after actually using this pgone in all aspects.Pros -1. Canera - Excellent camera - Good low light photography.  64 Megapixel does uts wor. Inteli Cam is just awesome.2. Display is just Superfine even in direct sunlight it works Excellent.Touch is just Excellent.3. Phone looks really cool in hands.4. Smart pop up feature is also good to have.5. UI is good.6. Speaker sound is good.7. No issues in calls - No call drips using Airtel sim.Overall its very nice experience using this phone.I researched alot before burying this phone and i am happy that i made this choice.Cons -1. Battery doesn't look like 6000 MAH it typically gives 1.5 days backup with single charge which other phone alao gives with relatively less Mah Battery.I was hoping to get little more backup2. Processor  - Could have been better3  No back cover for phone as it is hard to find in a market,5,Very Positive
"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"hanging too slow Don't buy don't disappoint be careful. don't trust Amazon : Don't buy anyone worst product, Waste of money rs 18000. This product too much heating, display quality very low and touch screen not working, Camara is very worst like 2mp Camara, also don't trust Amazon. I have ordered credit card payment. they cancelled orders and not refunded. I have raised complaint against Amazon but no use. don't purchase in Amazon. Samsung m31s hanging even I am not installed single game",2,Negative
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),1.0 out of 5 stars,"iPhone 11 : Defective product,got heat up within 5 minutes of starting. Need to return  fastVery very bad experience",1,Very Negative
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),1.0 out of 5 stars,Defective Iphone 11 : The product i got was defective . The face id is not working and the back camera is also not working. There is a lot of hassle to get it exchanged. The apple service centre is also not of much help as the product is from amazon. Please buy phones from apple store to get the right product .,1,Very Negative
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),5.0 out of 5 stars,"Best iPhone ever | Super Night Mode | Super Camera | Yellow : In my opinion, don’t  think much about the phone , just get it . I am attaching night-mode on and off pictures. Check the differencePros-1. Best Camera2. Best Security3. Long day Battery Life4. Touch ID improved5. Its an iPhone after all . 😍6. Best Night-mode support7. Best Processors A13 Bionic ChipCons-1. Display could have been OLED in this price but if doesn’t matter . This retina lcd is really awesome.2. Slightly bulky and weighty - if u r shifting from iPhone 7 or 83. Thick bezelsGuys , I am both Samsung as well as iPhone fan. But this price range I would suggest you to order iPhone 11. Its really a great deal.And if u r a long time iPhone user . Then this will be really great for you.Got for it Guys !!!",5,Very Positive
Apple iPhone 11 (128GB) - (Product) RED (EarPods & Power Adapter in The Box),1.0 out of 5 stars,"Too much heat on normal use : Just after i switched it on, it started producing so much heating even i cant hold it by hand. Later i tried YouTube, game, normal browsing and it has the same excessive heating issue. Seems defective piece. I need refund asap. I have not paid 70k for a defective phone. I am feeling like got scammed.Edit - I returned this phone and got refund from amazon and bought the same from flipkart ..and it got no issues .",1,Very Negative
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",1.0 out of 5 stars,No to Redmi : This phone is unnecessary creating black market ...By launching the phn in flash sale 90% phone are booked by bookies and sell in open market for Rs1000-2000 extra cost. I stopped using Redmi everyone should also do so.,2,Negative
"Redmi 9 Prime (Space Blue, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera",5.0 out of 5 stars,Binod. : Binod.,2,Negative
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",5.0 out of 5 stars,Overall a good phone 👌 : Good phoneDecent look and looks stylishCamera and battery quality are super goodGood phone in this range 👍But delivery service is not good,3,Neutral
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",2.0 out of 5 stars,Not good : Not good phone stopped working after some time so i didn't suggest you this...,3,Neutral
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",3.0 out of 5 stars,Just Read before buying. My opinion : Here my product review after usage of 2 week.Pros:Design and built quality - superb.Display - Smoothness and view is very impressiveFinger print sensor and face unlock working  perfect.Rear camera - Good as considering the price.Ram management and multitasking - Just ok. Without any new applications it's consuming 1.8 gb.Call quality very fineCons:Gaming - Mobile heating and lagging when you playing high graphics gameBattery - 5020mAh battery. Moderate performFor charging it's take 2.4 hrs per day from 0 to 100. I think MI mentioned just for advertisement.Macro camera - useless featureFront camera - AverageUi is fine but consuming more ramMany pre-installed application could not able to delete ( Mi app).FinalNormal user you can go (If you are ok to charge twice a day).If you are a game addict this product not at all suitable for you.Note: I am requesting replacement for my 1st mobile due to heating issue.Received 2nd one has battery draining issue. I am really disappointed to charge twice a day ( 5hrs per day). I suggest please buy some other brand don't waste your money like me.,3,Neutral
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",2.0 out of 5 stars,"Worst : Worst product, not as expected its not even a month and ut hangs so much! Its front camera is just worst, only it's first look is good nothing else. Don't go for it!! Redmi note 8 and even note 5 is much better than it!😤 Completely disappointed 😤😤😤",1,Very Negative
"Redmi Note 9 (Aqua Green, 4GB RAM 128GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL",5.0 out of 5 stars,Loll !!  I am the first to review this 🤩👇 : Awesome product 💎Value for money 💵Best in segment📱For normal usage this one is the best 🙌Long battery life 🤳 when compared to other smartphones.Camera is ok for this price📸Charging is comparitively slow it takes 2 - 2 and half hrs or more to get full charged.🕕 Overall its best for the price  👍,5,Very Positive
